_id,author,content,time
60af70be02518e90a304febf,,"疫情后，还没看清这些国家（欧美日澳新）的嘴脸吗？

中国人吃狗肉：狗是人类的朋友，中国人没素质，民族劣根；
日本人吃鲸鱼海豚：要尊重（我们）当地人的文化传统和饮食习惯。

美国暴民游行示威：辣椒水、催泪弹，危害社会安全，必须严惩；
中国HK那群废柴打砸烧：让我们马上连线在HK的皿煮斗士，向他们致敬！

中国增加国防预算：中国有野心，威胁世界安全；（哈？）
美国对伊拉克叙利亚开战：维护世界和平，保卫中东安全。

中国新疆棉等问题：中国强制劳动，剥削压迫；（无中生有）
日本研修生问题：为发展中国家提供技术学习机会，促进国际交流。",04-13
60af70be02518e90a304fec0,小早川,"中国种植面积广阔生态林近25年来森林增长面积全球第一，却因吃蛋奶肉欧美舆论指责不环保。玉林狗肉不过吃专门肉狗品种，也被欧美舆论挞伐为落后习俗。
日本排放大量核废水，美国却肯定其符合全球公认核安标准，即使出现福岛核灾，但日本仍被视为环保国家。而日本大肆捕杀鲸鱼海豚，却被人们视为「当地文化传统」甚至广受赞扬。
正如人与人是平等的，但有些人比其他人更加平等一样。
国与国也是平等的，但是有些国家就是比其他国家更加平等。",04-12
60af70be02518e90a304fec1,,"你是日本人吗？
不是。
你是中国人吗？
是。
核废水是我们排放的吗？
不是。
是日本排放的吗？
是。
那你不让他治理让我治理？
因为你是好人。
这是tm什么狗屁道理？就因为我是好人我就应该拿命给本子擦屁股？",04-16
60af70be02518e90a304fec2,笨呆薪火,"理论上日本只是决定倾倒核废水，但事实上，在这个决定之前，由于福岛第一核电站核反应堆池壁破损（我现在都怀疑是不是故意的），日本已经悄悄排了10年，周边的动植物很多都受到了辐射而变异。
（“变异苹果”图片已删，
@摸鱼的王同学
这位大佬做出了科学的解释，认为这是多倍体番茄摆拍，被多家网络媒体误用，目前尚无权威媒体或学术杂志对此类植物进行介绍或报道，我为我的不严谨致歉，也向
@摸鱼的王同学
的科普表示感谢）
这一次不过是披了一层政府的外衣，拉了一个护犊子的父亲，找了几个牵强的理由，让自己的反人类行为看起来不那么邪恶罢了。
由于日本每天要产生180吨核废水，于是截止2021年2月，福岛核电站周边已经建了1074个储水塔，存了满满120万吨核污水。",04-14
60af70be02518e90a304fec3,,"请他喝了再说
看起来美国跟日本一唱一和、狼狈为奸，但实际上，美国却悄悄干了另一件事。
美国食品药品管理局（FDA），早在今年3月4日，就对美国国内更新了“99-33号进口警报”，继续严格禁止从日本进口多种食品，包括日本的牛奶、黄油、婴儿奶粉、蔬菜、大米，各种鱼类、家禽类、蛤蜊类、海胆，以及多种水果。",04-16
60af70be02518e90a304fec4,RichElio,"记得几年前，HBO的《切尔诺贝利》火了，我朋友圈一堆同学仿佛化身当代鲁迅，仿佛自己亲身经历过切尔诺贝利事故一般，写了一堆或义愤或伤感的文字，一副“我很睿智，政府如何愚弄百姓的套路都被我看透”的神情。
我看了几集就发觉到不对，这剧私货太明显了，根本就不是在记录历史的样子，绕来绕去，主题永远是西方阵营污蔑我们的老套路：体制不民主，言论不自由，高层为了利益泯灭良知，舆论受监管等等",04-14
60af70be02518e90a304fec5,,"艺人请不要随随便便对政治事件高谈阔论，以免暴露了自己是九漏鱼的事实。
引用一张微博图片：",04-15
60af70be02518e90a304fec6,格罗斯特公爵,"什么用都没有，美国不发话，那就是默认让他排了。
当年苏联切尔诺贝利，上来就七级事故。可是人家苏联真的是拿命填，用无数鲜活的生命保住了自己和欧洲。就这美国和它的西方喉舌到现在都不肯放过苏联，还在拿这事拼命黑。
日本这可恶劣多了，本来三级事故，愣是被拖成了七级。但面对日本排核废水，西方干嘛呢？西方各大媒体，就把这当成一条普普通通的新闻报道了一次，然后木了。
这排核废水的要不是日本，而是中国，那西方媒体头版头条绝对连续几天被这新闻霸占，摸黑造谣诋毁铺天盖地席卷而来，甚至各种制裁纷至沓来。
可现在排核废水的不是兔子，是老鹰养子脚盆鸡，那这些Cia豢养的媒体自然duer 一声放个屁就没然后了。",04-15
60af70be02518e90a304fec7,,"两年后日本：已经排完了。真的非常抱歉(鞠躬)
二十年后日本：这是以前的人做的事，和现在的我们没有关系，我们也是受害者，呜呜呜
五十年后日本：核废水？什么核废水？历史上没有核废水这件事！
除了请我来把海水喝光，这个防范基本上是做不到的，海域面积太广了。
我现在在海里听到日本那边在高呼：
有氟同享
铀难同当
海纳百氚
大家好，我是哥斯拉，我认为不需要防范，我现在很好！
如果海水进一步扩散，核辐射污染严重，人类日后估计要人人手持防辐射装置，远离核辐射超标地区。
并且只能穿着防核辐射防护衣过日子，简直不敢想象。并且阻隔效果非常有限
最重要的是如果进一步恶化，水源遭受污染，多年后处理淡水辐射将会是非常头疼的一件事。",04-14
60af70be02518e90a304fec8,,"不喝核废水？
行，退而求其次，跳下去游个泳吧。
不是说“安全无害”吗？下去做个表率啊。

人家前苏联的核能部部长可是生猛的一比，敢身先士卒跳进“核爆坑”里游泳。
真不是吹B——
恰刚人工湖。",04-12
