,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡,日期
0,湖北省,56249,5623,1596,武汉,1548.0,380.0,110.0,39462.0,2915.0,1233.0,2020-02-16
1,湖北省,56249,5623,1596,孝感,87.0,40.0,3.0,3201.0,353.0,65.0,2020-02-16
2,湖北省,56249,5623,1596,黄冈,6.0,105.0,7.0,2823.0,716.0,75.0,2020-02-16
3,湖北省,56249,5623,1596,荆州,12.0,70.0,4.0,1490.0,263.0,36.0,2020-02-16
4,湖北省,56249,5623,1596,随州,22.0,17.0,3.0,1254.0,113.0,22.0,2020-02-16
5,湖北省,56249,5623,1596,襄阳,16.0,29.0,1.0,1144.0,114.0,19.0,2020-02-16
6,湖北省,56249,5623,1596,鄂州,38.0,23.0,1.0,1230.0,222.0,34.0,2020-02-16
7,湖北省,56249,5623,1596,黄石,8.0,14.0,1.0,988.0,192.0,14.0,2020-02-16
8,湖北省,56249,5623,1596,荆门,7.0,5.0,2.0,909.0,117.0,30.0,2020-02-16
10,湖北省,56249,5623,1596,咸宁,12.0,25.0,0.0,852.0,152.0,8.0,2020-02-16
11,湖北省,56249,5623,1596,十堰,5.0,15.0,0.0,602.0,116.0,2.0,2020-02-16
12,湖北省,56249,5623,1596,仙桃,9.0,24.0,0.0,523.0,87.0,17.0,2020-02-16
13,湖北省,56249,5623,1596,天门,25.0,6.0,0.0,447.0,27.0,10.0,2020-02-16
14,湖北省,56249,5623,1596,恩施州,3.0,1.0,0.0,247.0,76.0,4.0,2020-02-16
15,湖北省,56249,5623,1596,潜江,50.0,0.0,1.0,166.0,12.0,6.0,2020-02-16
16,湖北省,56249,5623,1596,神农架林区,0.0,0.0,0.0,10.0,8.0,0.0,2020-02-16
17,湖北省,54406,4821,1457,武汉,1923.0,512.0,107.0,37914.0,2535.0,1123.0,2020-02-15
18,湖北省,54406,4821,1457,孝感,105.0,58.0,5.0,3114.0,313.0,62.0,2020-02-15
19,湖北省,54406,4821,1457,黄冈,26.0,83.0,9.0,2817.0,611.0,68.0,2020-02-15
20,湖北省,54406,4821,1457,荆州,31.0,30.0,5.0,1478.0,193.0,32.0,2020-02-15
21,湖北省,54406,4821,1457,随州,26.0,24.0,3.0,1232.0,96.0,19.0,2020-02-15
22,湖北省,54406,4821,1457,襄阳,17.0,12.0,2.0,1128.0,85.0,18.0,2020-02-15
23,湖北省,54406,4821,1457,鄂州,67.0,83.0,1.0,1192.0,199.0,33.0,2020-02-15
24,湖北省,54406,4821,1457,宜昌,29.0,10.0,2.0,906.0,92.0,15.0,2020-02-15
25,湖北省,54406,4821,1457,黄石,37.0,41.0,2.0,980.0,178.0,13.0,2020-02-15
26,湖北省,54406,4821,1457,荆门,1.0,7.0,3.0,902.0,112.0,28.0,2020-02-15
27,湖北省,54406,4821,1457,咸宁,108.0,28.0,0.0,840.0,127.0,8.0,2020-02-15
28,湖北省,54406,4821,1457,十堰,11.0,12.0,0.0,597.0,101.0,2.0,2020-02-15
29,湖北省,54406,4821,1457,仙桃,14.0,5.0,0.0,514.0,63.0,17.0,2020-02-15
30,湖北省,54406,4821,1457,天门,6.0,0.0,0.0,422.0,21.0,10.0,2020-02-15
31,湖北省,54406,4821,1457,恩施州,7.0,15.0,0.0,244.0,75.0,4.0,2020-02-15
32,湖北省,54406,4821,1457,潜江,12.0,1.0,0.0,116.0,12.0,5.0,2020-02-15
33,湖北省,54406,4821,1457,神农架林区,0.0,0.0,0.0,10.0,8.0,0.0,2020-02-15
35,湖北省,51986,4131,1426,孝感,135.0,46.0,8.0,3009.0,255.0,57.0,2020-02-14
36,湖北省,51986,4131,1426,黄冈,129.0,101.0,1.0,2791.0,528.0,59.0,2020-02-14
37,湖北省,51986,4131,1426,荆州,16.0,59.0,4.0,1447.0,163.0,27.0,2020-02-14
38,湖北省,51986,4131,1426,随州,46.0,10.0,2.0,1206.0,72.0,16.0,2020-02-14
39,湖北省,51986,4131,1426,襄阳,10.0,7.0,3.0,1111.0,73.0,16.0,2020-02-14
40,湖北省,51986,4131,1426,鄂州,60.0,19.0,2.0,1125.0,116.0,32.0,2020-02-14
41,湖北省,51986,4131,1426,黄石,32.0,22.0,2.0,943.0,137.0,11.0,2020-02-14
42,湖北省,51986,4131,1426,宜昌,67.0,10.0,2.0,877.0,82.0,13.0,2020-02-14
44,湖北省,51986,4131,1426,咸宁,198.0,14.0,1.0,732.0,99.0,8.0,2020-02-14
45,湖北省,51986,4131,1426,十堰,24.0,8.0,1.0,586.0,89.0,2.0,2020-02-14
46,湖北省,51986,4131,1426,仙桃,20.0,10.0,1.0,500.0,58.0,17.0,2020-02-14
47,湖北省,51986,4131,1426,天门,54.0,8.0,0.0,416.0,21.0,10.0,2020-02-14
48,湖北省,51986,4131,1426,恩施州,8.0,12.0,0.0,237.0,60.0,4.0,2020-02-14
49,湖北省,51986,4131,1426,潜江,10.0,3.0,0.0,104.0,11.0,5.0,2020-02-14
50,湖北省,51986,4131,1426,神农架林区,0.0,0.0,0.0,10.0,8.0,0.0,2020-02-14
51,湖北省,48206,3459,1310,武汉,13436.0,543.0,216.0,32994.0,1923.0,1036.0,2020-02-13
52,湖北省,48206,3459,1310,孝感,123.0,30.0,4.0,2874.0,209.0,49.0,2020-02-13
53,湖北省,48206,3459,1310,黄冈,264.0,85.0,4.0,2662.0,427.0,58.0,2020-02-13
54,湖北省,48206,3459,1310,荆州,321.0,24.0,2.0,1431.0,104.0,23.0,2020-02-13
55,湖北省,48206,3459,1310,随州,31.0,6.0,2.0,1160.0,62.0,14.0,2020-02-13
56,湖北省,48206,3459,1310,襄阳,13.0,6.0,1.0,1101.0,66.0,13.0,2020-02-13
57,湖北省,48206,3459,1310,鄂州,204.0,25.0,2.0,1065.0,97.0,30.0,2020-02-13
58,湖北省,48206,3459,1310,荆门,231.0,9.0,0.0,927.0,93.0,24.0,2020-02-13
59,湖北省,48206,3459,1310,黄石,37.0,14.0,3.0,911.0,115.0,9.0,2020-02-13
60,湖北省,48206,3459,1310,宜昌,26.0,10.0,3.0,810.0,72.0,11.0,2020-02-13
61,湖北省,48206,3459,1310,十堰,26.0,2.0,0.0,562.0,81.0,1.0,2020-02-13
62,湖北省,48206,3459,1310,咸宁,9.0,9.0,1.0,534.0,85.0,7.0,2020-02-13
63,湖北省,48206,3459,1310,仙桃,20.0,5.0,3.0,480.0,48.0,16.0,2020-02-13
64,湖北省,48206,3459,1310,天门,69.0,1.0,0.0,362.0,13.0,10.0,2020-02-13
65,湖北省,48206,3459,1310,恩施州,26.0,3.0,1.0,229.0,48.0,4.0,2020-02-13
66,湖北省,48206,3459,1310,潜江,4.0,0.0,0.0,94.0,8.0,5.0,2020-02-13
67,湖北省,48206,3459,1310,神农架林区,0.0,1.0,0.0,10.0,8.0,0.0,2020-02-13
68,湖北省,33366,2686,1068,武汉,1104.0,138.0,72.0,19558.0,1380.0,820.0,2020-02-12
69,湖北省,33366,2686,1068,孝感,109.0,39.0,4.0,2751.0,179.0,45.0,2020-02-12
70,湖北省,33366,2686,1068,黄冈,66.0,39.0,2.0,2398.0,342.0,54.0,2020-02-12
71,湖北省,33366,2686,1068,随州,34.0,30.0,0.0,1129.0,56.0,12.0,2020-02-12
72,湖北省,33366,2686,1068,荆州,35.0,19.0,4.0,1110.0,80.0,21.0,2020-02-12
