author,content,time
北青深一度,国内核辐射受害第一人22年身体不断被吞噬医生视为奇迹他被称为国内首例核辐射受害者背上这个第一的名声并不轻松宋学文的身体承受着由此而来的种种病症核辐射的阴影也留在了他的心里痛苦绝,2018-01-10 00:00:00
北山老仙,稳,2018-01-12 00:00:00
穿条秋裤吧,切尔诺贝利为什么要花16亿美金重新做一个新的大石棺而不是空投炸弹将其夷为平地然后用水泥掩盖20世纪50年代拉斯维加斯最受欢迎的一日游项目并不是一次平步青云的豪赌更不是花掉你一天工夫坐车去瞻仰的总统大峡谷100公里外的核爆试验令整个赌城持续处在轰鸣之中地震并没有把游客们从拉斯维加斯吓跑相反它为这片人迹罕至的沙漠带来了当时最大的游客量核能源委员会主席迪恩回忆道人们不再向往罗马假日转而把热情纷纷投向了这场原子之旅罗马假日的男主人公乔布莱德利可能是当时唯一有闲情去欧洲搞花边的记者了随着拉斯维加斯的上空相继出现两轮旭日全国媒体的关注力都被焦距在了西海岸的荒漠中1951年1月27日凌晨5点防空警报开始嘶鸣大部分的居民在此之前就已经醒来窗外成群结队的车流把街道拥堵得水泄不通只为获得更佳的观看视野大气原子能测试所散发出的光芒使拉斯维加斯的夜亮如白昼看起来像西北方向出现了日出人们对这种异象的兴奋超过了恐惧本身事实上整个50年代一个清晨出现两次日出对于这片沙漠而言并不罕见威力最大的一次试验是在1955年3月7日核爆为拂晓的洛杉矶带来了长达20秒钟的白昼1945年7月16日美国在新墨西哥州的沙漠里引爆了第一颗原子弹代号三位一体实验拉开了核子实验的序幕两周之后这种概念武器就被直接派上了用场20多天后的某个清晨太平洋上的广岛基地天气和煦两颗原子弹胖子和小男孩被装上了埃诺拉盖伊号B29轰炸机飞往日本总共造成22万人的直接死亡在广岛投下了小男孩后美军在往其他城市投下的传单上宣布要求无辜民众立即离开自己的城市美国要求你立刻留意我们在这张传单上的讯息我们制造了人类前所未有的破坏性爆炸在我们新研发的每一个原子弹当中都有一样的威力而我们2000台的B29轰炸机都可以在一次任务当中携带如此的威力这是一个值得你去思考的残忍事实而我们郑重地向你保证这十分精确美国笃定的二战胜利口吻令斯大林如坐针毡为了寻求捷径获取主动权他们通过美籍德国移民福克斯从奥本海默的原子弹试验场窃取了小男孩所有的公式和图纸又从德国萨克森维斯姆矿业股份公司弄到36吨铀作核原料1949年8月29日晨曦之中的前苏联塞米巴拉金斯克大草原上一个50米高的塔架吊起一只形同圣诞树玻璃球的巨球他被美国人称作斯大林1号数秒之后炸弹化作了一朵巨大的彩色蘑菇云以及22万吨TNT当量苏联成为世界上第二个拥有核武器的国家随着哈萨克草原上一声巨响前苏联打破了美国的核垄断奏响了美苏争夺世界霸权的序曲至此两个超级大国的核竞争终于站到了同一条起跑线上美国政府为了努力在冷战紧张局势中提高核打击竞争能力到90年代已经在内华达沙漠中的偏远地带进行了多达928次原子武器试验尽管如此当时的人们对原子的力量依然一无所知核试验很快演变成了一项风靡西部的旅游观光项目一时间洛杉矶和拉斯维加斯变得炙手可热当地居民和向往西部精神的游客想方设法来到这里企图用最佳视角观赏人类历史上最恐怖的毁灭力量对于蜂拥而至的人群官方选择了拥抱他们甚至邀请了世界各地的媒体记者甚至军事观察员来到内华达沙漠腹地的Mercury基地这是一个专门为新闻报道而临时搭建的场所Mercury墨丘利在古罗马神话体系中是商业旅行和偷窃之神而在古希腊的传说里他则被尊为赫耳墨斯职责是为众神传信未来在这场沙漠掷下的近千枚核弹将成为美利坚的诸神新闻媒体端来打字机围绕着Mercury营地搭建起若干临时的暗房为的只是让你在清晨喝着牛奶麦片粥的时候就能翻阅到举国高潮的消息媒体联合观察团除了广岛和长崎的日本人在前沿壕沟中的1000名士兵和20名新闻记者比其他任何人都更接近暴怒的中心扬声器里面传出上尉HaroldKinne的提示在座各位你们有幸比任何一支部队都要接近美国的力量两英里非常近先生们这是地球上最棒的表演chillout享受它大地开始狂怒而我们像被装在啤酒杯的骰子欧洲的军事观察团第一次见到天空中喷薄的蘑菇云蛇毕竟美国在太平洋战场上驰骋的时候他们还在西欧战场上相互推诿淘金的热度正在被原子弹所取代图为1955年拉斯维加斯OldFrontier村的一家公共游泳池旁人们被蘑菇云所吸引驻足观望那些无法亲自抵达现场感受民主崛起的人们自发簇拥在洛杉矶和西海岸各大城市的街头热议电视带来的前线报道这应该是人类最早的真人秀直播了所有的事情在拉斯维加斯都可以成为商机而媒体就像一个加速器将人们参与其中的欲望集中在这个巨大漩涡里50年代拉斯维加斯总共组织了上千批次的观赏团流程涉及核爆实验的每一个步骤观摩核爆甚至连回顾弹坑都被开辟成了旅游路线当被外国游客问及核弹观光的魅力究竟来自哪里一名当地人说我们在沙漠中窥见了轮回他们凝望的只是沙漠的深渊看到的似乎却是这个国家的未来大多数人还是期待观摩一场现场尽管只是戴着简陋的护目镜人们屏住气息持久凝望着地平线等待着神谕的降临如果你的壁橱上没有一张和蘑菇云的同框合影你一定没有经历过美国西部的50年代美国人民对核试验已经陷入了近乎疯狂的热情舞蹈家纳尔逊GeneNelson在离拉斯维加斯不远处的一座山顶上摆出AtomAntic的标志动作你可以在他的胯下看到一柄蓬勃的蘑菇当国家安全发酵成一场全民运动美国人再也掩饰不住内心的激动了他们愈追愈勇甚至开始亲近这个产业而淡忘了它本来作为一个杀人实验的事实拉斯维加斯还趁热打铁举办了一场原子小姐选美大赛冠军LeeMerlin女士用芭蕾舞阐释了蘑菇云的婀娜也打消了很多人心中的疑云这是一个健康美丽阳光的产业但丁在神曲中提到当一件事情愈加完美它的痛苦和喜悦也会相应地更多就像你的家乡通火车的那天每个人都希望亲眼见证却不知道它总有一天会把你送上天路据每日邮报两星期前揭露的资料显示20世纪50年代美国在内华达州组织的近千次原子弹核爆试验泄露了数百万次的巨量核辐射而核弹观光团拥抱的美好至今可能已经杀死了高达695000个平民美国自造的核屠杀惨案50年代以来数以百计的核试验是如何杀死695000个平民的自二战结束以来在世界两极的挑唆和技术扶持下全球范围内总共进行了两千多次核试验其中约14的核弹头在大气层中爆炸前联合国生化武器委员会成员伊戈尔尼库林表示即便在大洋中进行实验也好不到哪儿去一切都取决于风向以及放射云飘向何处基本上它能飘向任何地方环绕地球几圈全球肿瘤疾病数量的增长就是后果1963年之前的鲁莽实验造成的核辐射导致了一系列严重的意外据最新研究发现冷战期间核试验导致的平民死亡数比我们的想象要严重得多美国土壤的地面测试显示数十万美国人一直暴露在巨大的放射性污染中污染甚至进入环境和食物供应链估算导致了1951到1973年间多达695万人口的死亡美国核爆实验造成的超额死亡人数甚至可以和广岛和长崎爆炸案的总死亡人数相当直到1963年前后美国的测试才被转移为非公开进行但到那个时候内华达的测试场已经有过100次大气核弹测试在另一项新的研究中亚利桑那大学的研究人员KeithMeyers以郡县为单位分析了每年核辐射影响的变化过程有一种特殊的媒介导致了当地人和致命污染源的大量接触它就是美国人每天都在喝的牛奶Meyers解释说在20世纪50年代大部分牛奶都是从内华达销往全国的通过这个渠道放射性沉淀物进入了全国的食物供应链污染在全国范围内蔓延开来一些热点地区的碘131浓度已经严重超标数据来自NCIMeyers的调查发现从1951年到1973年放射性物质总共制造了多达395000695000例肿瘤死亡受影响的区域并没有和周围隔离开来追踪放射性沉淀物的地理影响范围要远比之前的研究所显示的射辐射影响更广Meyers写道她还研究了大气测试对居住在亚利桑那州内华达州和犹他州的居民的影响与直觉相反死亡率最高的地区不在测试集中分布的地带而是在该国内陆地区具有中度放射性尘埃沉积的下风口地带面对自己人的安危都不曾重视所以面对太平洋核弹试验场马绍尔群岛居民的诉求时美国人感觉到那只是来自野蛮人的讹诈如果不是1958年的试验暂停和部分禁止核试验条约的实施可能还会有数十万名围观者因此陪葬苏联人接下来在太空领域一蹴而就而美国人迎来了60年代的萧条嬉皮们在大众T1里临摹梵高的星空外面是比他们的涂鸦更加难以捕捉的辐射世界变得再次诡吊不要核肯尼迪你给老子小心点美苏在古巴导弹危机上各怀心事这是最有可能引爆第三次世界大战的关键节点核战随时一触即发两国在核武器发展问题上的零和博弈早已形成了一种核打击的恐怖平衡而斯大林对打破了华盛顿的核垄断感到十分满意他幽幽地说假如我们再晚个一两年也许这种炸弹就只可能落在我们头上了从危机开始鲍勃迪伦就此事和其他美国人表现出了不一样的关怀他借用一首古老的英国民谣写下了暴雨将至AHardRainsAgonnaFallAHardRainsAGonnaFallmusic163comIsawahighwayofdiamondswithnobodyonit我看到布满钻石的大道上竟空无一人Isawablackbranchwithbloodthatkeptdrippin我看到了焦黑的枝条上全是血那血止不住的流Isawaroomfullofmenwiththeirhammersableedin我看到了一屋子的人拿着榔头榔头上鲜血淋淋Isawawhiteladderallcoveredwithwater我看到一架白色梯子彻底浸入水中Isawtenthousandtalkerswhosetongueswereallbroken我看到千万人有话要说舌头却被割去Isawgunsandsharpswordsinthehandsofyoungchildren我看到孩子们手中握着长枪和利剑Anditsahardanditsaharditsaharditsahard我感到那急剧的猛烈的呼啸的疯狂的Anditsahardrainsagonnafall那瓢泼的暴雨就要落下Andwhatdidyouhearmyblueeyedson呵你听到了什么我蓝眼睛的孩子Andwhatdidyouhearmydarlingyoungone呵你听到了什么我亲爱的年轻人注blueeyed在俚语里表示涉世不深单纯易受欺骗获得诺贝尔和平奖之前有人问过他暴雨将至歌词隐藏的政治喻意鲍勃迪伦回避了一切它就是一场大雨不是暗示原子弹不就是倾盆大雨浊世滔滔为熔炉曾经的神曲现在变成了凤凰传奇曾经的原子弹变成了现在致贱人信息爆炸的时代每一个媒体都在试图制造原子弹总有人想从这场爆炸里逃生面对醉意的拥抱他们不会翩翩起舞60年后曾经的观光团后代格雷姆伍德回到Mecury基地那里距离95号高速公路大约有半英里的行程一个巨大的白色标语牌矗立在门口上面写着禁止在未经允许的情况下穿越他又往前走了几英里Mecury营地的一切都还在还是那个小镇有邮局自助餐厅和牛排馆公共设施俱全就是没有永久居民,2018-01-12 00:00:00
啾一口团子,画面感太强,2018-01-12 00:00:00
席德上南墙,去年9月就说要把燃料棒取出来到现在也没消息东电和日本zf的态度差不多是混吃等死了吧还是毛子的方案比较耿直顺便买一送一把大伊万投到东京去,2018-01-12 00:00:00
道友请留步,日本没落了90年代横扫中国的家电产品现在几乎成了古董品牌日本手机市场被华为小米三星占领现在能吹的只有单反相机了过几年也会被高智能高清晰的手机取代古板虚伪的日本注定没落,2018-01-13 00:00:00
一蓑烟雨,苏联给其他国家带来危害了吗日本往海水里排废水还要求取消福岛地区出口限制这些危害都是不可估量的整体弹民主真的很恶心,2018-01-14 00:00:00
一蓑烟雨,为什么国人那么精日年轻人难道就因为动漫明星而精日虽然我也看过日漫可是和日本人是两个概念,2018-01-14 00:00:00
一蓑烟雨,答主专业,2018-01-14 00:00:00
一蓑烟雨,去这里看看httpwwwaccessdatafdagovcms_iaimportalert_621html,2018-01-14 00:00:00
