,author,content,time
8813,海疆在线,韩国举行游行要求禁止进口日本水产品福岛核事故后韩国参考日本政府的出货限制措施禁止进口日本8县出产的共49种水产品此外2012年4月起在进口食品中只针对日本食品将每公斤370贝克勒尔的放射性铯安全标准上限下调至100贝克勒尔O网页链接,2013年08月02日 09:22
54450,Dollahan,福岛第一核电站的核废水处理方法政府的专家会议上表示排入海洋的方案更加可靠可实施报告书中提到的两种排放方法排入海洋和排入大气中认为排入海洋是有实际的经验的所以将会采用排入海洋的方法处理福岛第一核电站的核废水报告书通过的话政府会听取当地的自治体等的意见然后决定最终的处理方案趁大家还在被新型冠状病毒夺取关注力的时候给全世界的海洋里来点核废水染剂果然是亚洲之光看看视频就知道到底有多少罐有多少量的核废水了帮你们查了一下一个罐子10001200吨核电站内1000多个罐子目前已经超过100万吨还在增加日本福岛核污水或将排入太平洋L日本傻事的微博视频收起全文d,2020-01-31 21:14
46370,每天就知道可爱可爱,日本核辐射污染物被冲入河流据日本福岛县田村市称受台风海贝思引发洪水冲击一批装有核辐射污染物的垃圾袋被冲走进入河流垃圾袋里装的主要是当时核事故清理出的草木碎片垃圾临时存放处约有2667袋垃圾均装有核辐射污染物当地政府已找回6袋但尚无法确认流落在外的垃圾袋数量L央视新闻的微博视频收起全文d,2019-10-14 18:48
22252,浮生若梦85号,日本核污水57天将污染半个太平洋每个日本人一天喝18斤核废水很难吗,04月11日 22:54
80226,山财易班,一周财经史无前例日本要排放核废水入海日本要排放核废水入海热度4月3日上午日本政府召开内阁会议正式决定将东京电力公司福岛第一核电站内储存的核废水排放入山财易班2021419,2021-4-19
53974,SX号逗比大锤,福岛第一核电站的核废水处理方法政府的专家会议上表示排入海洋的方案更加可靠可实施报告书中提到的两种排放方法排入海洋和排入大气中认为排入海洋是有实际的经验的所以将会采用排入海洋的方法处理福岛第一核电站的核废水报告书通过的话政府会听取当地的自治体等的意见然后决定最终的处理方案趁大家还在被新型冠状病毒夺取关注力的时候给全世界的海洋里来点核废水染剂果然是亚洲之光看看视频就知道到底有多少罐有多少量的核废水了帮你们查了一下一个罐子10001200吨核电站内1000多个罐子目前已经超过100万吨还在增加日本福岛核污水或将排入太平洋L日本傻事的微博视频收起全文d,2020-01-31 21:14
52878,煮咖啡熬夜,转发微博,2019-12-31 12:53
20513,千羽轻翔,核废水日本小鸟敢喝吗我们这小鸟敢,05月15日 06:18
83641,杨超越黑粉头子站,这里有个燃料包壳的概念压水堆核电站的燃料棒外壳是燃料包壳放射性物质在里面裂变产物几乎不会漏到一回路水里另外一回路水是净化过的水避免出现活化产物而福岛燃料包壳没了灌进去的还是海水海水有极多的杂质被放射性中子打成同位素这里就没法看了用屎可以点燃烧饭但是你把屎拿出来燃料包壳破裂扔饭里再撒一把沙子做出来的饭还能吃吗,04-21
71132,养车指南,液态钍反应堆比现有核能更安全清洁高效钍是一种天然的核燃料地壳中含量是铀的四倍它可用于液态氟钍反应器中产生电能热量等有价值的产品它的能量密度如此之大你可以把一辈子的钍能量储存在你的手掌里采用液态氟钍技术我们可以摆脱目前水冷固体燃料铀核电昂贵和困难的一面我们不需要大的高压核反应堆和大型围堵建筑日本137万吨核废水将如何处理L养车指南的微博视频收起全文d,2021-03-13 00:10
