,博主昵称,微博内容,发布时间
9102,是个猎人_,大心脏本人在哪都能甜都能佛都能及时脱敏远离撕逼除了去他ins底下说核废水,05月03日 14:47
9324,notabear,科普一下核辐射是什么核辐射有哪些危害日本核辐射核辐射日本政府正式决定福岛核废水排海科普冷知识Lnotabear的微博视频,05月04日 22:56
2468,侠骨柔情方恨晚,瑞典环保少女喊话中国要改变但她此前在日本核废水议题上却保持沉默L侠骨柔情方恨晚的微博视频,05月10日 14:58
2770,_Ez4us,真想狠狠地把谏山创投进核废水里,05月11日 22:04
4558,风向挖掘机Rebith,核污染检测核废水处理核防护概念股中广核技公司拥有处理核电站放射性废水的无机吸附技术可以从高盐量的放射性废水中高效去除目标核素离子快速降低废液的放射性活度中洲特材公司主营高温合金广泛应用于核电设施比如核设施阀门核燃料棒等普利特公司的改善性塑料气凝胶项目可应用于核废水处理海伦哲公司取得德国斯密茨6653的股权主要产品包括生化侦检车系统和危险物料处理消防车等辰安科技公司具有自主知识产权的水体放射性核素在线监测仪器实现水中多种放射性核素自动测量捷强装备公司为军用核化生防御装备总装企业配套核心系统部件新一代核化生洗消装备的液压动力吸引的唯一供应商远达环保公司是唯一具备中低放射性核废水处理牌照的A股上市公司北化股份公司全资子公司山西新华化工是我国唯一的核化生三防器材科研生产双保军单位中电环保公司是水处理行业领先企业核电的水处理市场占有率位于全国前列收起全文d,05月15日 05:10
9864,薄荷_爱的逃避行,牛一玶海岸看了一下少女继续发推支持全世界学生周五逃课对日本排核废水目前还一言不发评论里有人提示也置之不理风云sfy瑞典的环保少女呢,04月10日 19:52
486,尤里卡lll,真的上一次看见还是在课本上和日本倒核废水一副德行省钱省力不计影响还不如直接集资算了何必这么糟蹋东西看来中国真的富裕到这个地步了真不知道经历过饥荒的老一辈人看到这些会怎么想就怕他们今天以追星的名义倒进沟里明天就会为控制价格而倒进河里,05月05日 00:20
7182,昊昊晃晃忽忽,败类本子孤烟暮蝉日本傻事你们要知道日本在8年前的2013还是用挖坑加三层防水布放核废水的会不会笑出眼泪啦然后结果被发现泄漏善良的囧囧神钢铁集装箱当初就应该灌铅密封的小日本作为发达国家这个钱都不舍得花宁愿害人害己,05月01日 18:42
503,卡有壹圆钱,日本核废水排入海洋影响有多大真TM要被日本政府气死难道两年后我就看不到美丽的大海了吗我还没看过海呢好你个日本政府我不想那么快死我还想多活几十年想活到老呢我还没去旅行和谈恋爱找男朋友呢还没结婚生小孩呢还有我以及小马哥想象的海边婚礼尤其是我还没有看遍大海呢自己在废置荒地多建储存罐会死还那么多荒地呢居然还不肯花钱建收起全文d,05月06日 23:44
9059,最爱搞cp,嗑lzmq是真的被核废水洗脑了吧骂我们14个站姐怎么也比你们废物站姐每天在dp群求爷爷告奶奶半个月都求不到一张同框来的好,05月03日 16:10
10076,Hotdogeeeeeeee,在蛙島公募保準福島明天開始生機勃勃菲特泰斯塔羅莎组织一群公知大v去福岛深度旅游用核电站水泡汤在排水口浮潜每天饮核电站的水吃福岛米海鲜都是核电站外现捞的体验一个月之后送福岛永住票非常爱扭给的人让东电和外务省直播现场喝核废水我们打赏我愿意掏钱,04月10日 16:51
6507,_锦年·JN,把核废水排入海洋这件事真的会影响到我是否去京大读博的决定之前我信誓旦旦如果真的是这样我打心底里拒绝现在已成定局最近一直在时不时思考这件事情首先我会考虑谁是直接受害者和间接受害者甚至还做了利益相关者分析总结下来只能说句损人不利己然后我以其他国的角度分析了一下整个事情的逻辑以环境为主而非政治发现有几个问题无法自我回答最后我以日本中心去重新审视这个事情一顿操作下来我猜他们似乎也知道自己的行动有多不合适当然其中也有无奈吧没有开脱的意思思来想去还是决定去因为我一直坚信你没有真真正正的经历过你就没有权利去谴责比如ZSDY事件只不过很遗憾我的研究计划并不是水污染相关收起全文d,04月11日 20:13
5558,水桥澜菜子,日本排核废水被指是为省时省钱无聊搞了点表情包谴责日本排核,05月19日 18:02
9939,安排的我不要qqq-_-,以适当的方式弃置垃圾能保护我们的海洋所以排放核废水是适当的方式咯所以其实日本是在保护我们的海洋咯江宁婆婆,04月10日 18:59
3350,kuni柒,巨人最终卷加页谏山创脑子里进核废水了叭wok谏山创你TM没有心,05月12日 09:46
1366,汉人一脉,把这个小恶灵裹上恒河泥巴灌饱牛尿用阿三的柴火烧了得了ElizToh核废水喝多了,05月08日 23:53
3498,MI橘子皮,可爱疯了賣羊肉的咩咩咩早早就预言了核废水导致的海洋生物变异是神作没错,05月12日 00:06
8591,明叔201610,呵呵近70日本人要求对华强硬日本外务重磅宣布中日关系或越走越远最近日本不顾世界各国阻止公然宣布了一项危险决定日本打算将多年储存的核废水排入海洋O网页链接,05月03日 23:14
765,垫脚石X,回复风太大了吧hhh你这是核废水还喝的少了日本那黑金政治你以为有监督智商下线了吧风太大了吧hhh回复垫脚石X日本政府垃圾我可以理解你说一个有监督的政府比一个没监督的政府廉洁就很可笑了Value_at_Risk几年前我就说了多研究研究日本吧中国的未来日本的现在,05月06日 14:07
5358,昨天高烧60度,日本决定向大海排放核废水的时候环保组织消失了以色列侵略巴勒斯坦时侵略就是侵略人权组织消失了都是拿钱办事装他妈什么高大上晚安地球大舞台,05月18日 22:20
6916,扒扒娱鱼,涨姿势了后援会竟然还会正常换届任豪的后援会集体卸任看来大部分粉丝还是理智的顺便来聊聊那些年任豪塌的房感受下一个糊豆的精彩人生1和网红玩密室逃脱比赛时还和前女友在一起2红了就踹了女方用假名字和网红谈恋爱3在新冠核废水问题上自以为正义的发言丢人丢出国门4发文道歉后还强调不是自愿删除的之后又和美女去了KTV该来的总会来也许会迟到但不会缺席收起全文d,04月21日 23:50
2481,妳的心我的情,别那么多废话核废水让你们日本首相等官员先干为敬,05月10日 14:26
2820,栎栎栎栎YUE,yjt洗白方式把日本核废水喝完,05月11日 19:53
4803,中华骏捷-FSV,玖富数科诈骗何时休日本核废水入海对中国有何影响玖富普惠评论配图,05月16日 07:42
6796,钱多多Mia,王志文力挺任豪白天刚看了一位大佬分析日本核废水事情日本之前说有地方安置这些东西然后现在又说弄不了了得排海里美国同意欧洲那边鸦雀无声用脑子想想也知道啥情况吧还需要帮助人家就是想搞我们呀,04月14日 23:59
2916,温江妇联,日媒曝福岛核污水排放方案①福岛核废水处理后仍含放射性核素②核废水一旦排海放射性物质将在57天内扩散至太平洋大半区域③废水中所含碳14数千年内都将有影响将核事故处理后废水排入海洋人类从未有此先例日本此举极不负责,05月11日 14:35
9584,这里是哎哎哎哎哎扑肉,完美的演绎了什么叫脑子被驴踢了核废水喝多了吧,05月04日 14:29
1297,NannRis_,服了服了服了评论里的黄泉路人这是在网暴吗谁是老赖之子找谁还钱去谁智障言论找谁喝核废水去谁出轨了找谁骂去好事不见一起夸骂倒是天天一起骂烦死了烦死了孩子都糊得没姓名了还要天天被连累放过糊糊dy吧,05月07日 10:30
3592,今天努力加油了吗,拒绝核废水,05月13日 19:11
574,打着油纸伞的樱花少女,核废水画作之战霓虹漫画家的一波操作国内网友直呼这是友军因为抗议霓虹将核废水排入大海一幅名为神奈氚冲浪里的作品受到无数网友们的关注O网页链接,05月06日 21:13
7379,主编赵旭东,日本69级地震据日本气象厅消息日本宫城县附近海域1日上午发生66级地震日本宫城发生66级地震日本东岸近海66级地震这个日本倒核废水的报应提前来了吗,05月01日 11:41
4876,Everina小苏,给你喝核废水都堵不住你的嘴,05月17日 23:27
1455,宋小咩咩Forever,嗯嗯他们忙着建罩子喝废水我们演员粉和他们吵很掉价Loveu4seasons支持过季玫瑰不打折嗯嗯她们喝她们的核废水我们搞我们的演员本质不一样捏,05月08日 20:28
5079,Simon_WXH,日本畜生吃的核弹还是太少了日本政府正式决定福岛核废水排海,05月17日 17:28
5607,qizhong6398868292,日本把太平洋当着自己的下水道要对太平洋排放核废水日本朝太平洋投毒排放核废水的反人类鱼类生物类的做法尽然得到美国支持59天日本排放的核废水毒气就留到中国的海边日本朝太平洋投毒太平洋的鱼类喝日本投毒水吃了日本投毒污染的食物太平洋的鱼类也有毒日本投核废水59天流到中国海边中国海边的鱼类也喝日本投毒的水吃了被日本投毒污染的食物中国海边的鱼类人吃了对人体有害包括半个地球的国家海边的鱼类被日本投毒核废水污染的鱼人吃了对人体有害核废水污染大海在其它等等方面对国家有害对人体有害收起全文d,05月19日 12:53
2449,想看懂山海经,我怎么觉得法国总统说的威权主子政权是指欧美国家的民主政府呢比如法国民主的法国政府倾听那些黄马甲人民的声音了吗比如美国民主的美国政府听到了黑人不能呼吸的呐喊声了吗比如日本民主的日本政府听到了不能向大海倾倒核废水的呼声了吗马克龙鼓吹欧洲模式却被现实无情打脸O法国总统马克龙鼓吹欧洲模式却被现实无情打脸收起全文d,05月10日 15:53
3318,Magisk_Formgivare,谏山创谏人喝核废水把脑子喝坏了,05月12日 10:12
4349,西月国二皇子妃,环保少女她活着都是在排放二氧化碳加剧温室效应建议她从自身环保做起把自己搞死乌合麒麟任何世界性质的环保机构只要是对日本核废水不闻不问却跑来指责中国环保问题的都是打压中国的政治工具当放屁就行,05月15日 20:44
7638,姜汁曲奇,任豪没有人比r1se更爱r1se算了从疫情的发言再到日本核废水发言大家都知道你的嘴只是长着玩说的话听听就好不用当真,05月02日 23:53
8675,潜水的泡芙呀,东京饮用水致癌物严重超标多大点事核废水你们都能喝想必你们应该是百毒不侵喝他丫的,05月03日 22:27
1669,盐姜葱花鱼真好吃,溪风照怪不得美国这么支持福岛核废水,05月08日 08:59
6069,易胜永成,地球生态环境是人类的共同资源和共享的财富海洋生态环境同样如此它们不仅与国家利益相关也关系到每一个人的切身利益旨在保护和保全海洋环境方面的国际海洋法公约也有明确的规定禁止向海洋中排放污染环境的物质禁止进行损害他国及其环境的行为或活动等日本也是该公约的缔约国若向海洋中私排核废水不但是打自己的脸也是公然反对该公约公然损害其他国家的海洋权益目前只有东亚也地区的国家反对声较大美加以及一些欧洲国家或许由于与日处于同一阵营对于该事件置若罔闻而印度洋与南美洲国家由于距离较远也基本没有发声所以要禁止日本向海洋中排放核污水还需要我们与国际社会共同努力阻止日本核污水的私排行为收起全文d,04月11日 23:45
6078,我是你爱的姑娘丶,就日本要排核废水这个事情我已经很多年没有这么心慌过了上次这样还是2012的时候完全不敢睡手都是抖的,04月11日 23:32
9249,jiangting1974,日本倒核废水的惊天阴谋是想掌控全球淡水的定价权怎么办日本商业思维财经快手快手L财经馗说的快手视频,05月03日 10:17
3878,Mikyo_G,我手里所有的带亮片的眼影凭良心话讲日系的彩妆亮片做得是一绝并且是超级细腻清透的星星点点的钻光感很牛不过日本搞核废水排海这一出让老子是彻底不想入霓虹产的东西了,05月14日 23:21
2884,淮南山南警方在线,丧尽天良日本政府正式决定福岛核废水排海,05月11日 15:35
4863,九日公举总部,事情真的处理不完我们班有个孩子因为日本排核污染废水然后打算造一个诺亚方舟的还打算集资15个亿要囤纯净水在地下生活50年,05月17日 23:52
1554,天晴时雨,澳洲大火日本排放核废水都没出来howdareyou让人当枪使的东西国外的偏见不是我们释放好意就能消失的不给他们一巴掌永远不会醒问题就是方式和时机武力不是唯一解让那帮媒体人随便跳跟小丑又有什么区别他们以为他们能改变什么能改变什么,05月08日 15:29
1179,夹心果仁儿,我好像原谅任豪了因为之前真情实感的喜欢过他了解过他所以知道他词不达意脱粉原因就是前段时间日本核废水事情他发表的不当言论当时我是真的觉得他有大病还有之前他做过的说过的各种事情对他很无语又因为最近看了他们的演唱会看到了在舞台上的他依旧闪闪发光你可以说他没有脑子说他有病让他早点退圈但是你不得不承认任豪长得是真的很帅他是那种很标准的东方帅哥你完全可以相信凭借任豪的颜值可以留住很多颜粉所以今天说这些只代表我好像原谅他了但是我不会再成为果仁了收起全文d,05月07日 15:55
4655,你的专属女巫,越看越气美国盎格鲁撒克逊人真是这个世界上最该消失的民族低劣恶心有这么一个老鼠屎人类会被拖累吧连着日本一起毁灭吧它们就不能喝了核废水干净消失吗,05月16日 22:01
6850,Adela辣,这一天天的焦虑人口普查数据还焦虑核废水,04月17日 23:55
6128,改名字等好久,精日吹分子就该喂它们每人每天喝一杯日本福岛牌核废水,04月11日 23:05
9062,陌根,神奇大明星任豪呼吁中国帮日处理核废水官媒点名痛批影响恶劣UP主郭云神奇bilibiliO神奇大明星任豪呼吁中国帮日处理核废水官媒点名痛批影响恶劣哔哩哔哩客户端下载O网页链接南漪钓隐EVOL,05月03日 15:57
4903,废除儒家思想,国际原子能机构默许日本排放这就是能排放的权威力证难道国际原子机构不懂核知识国内媒体之所以会炮轰日本排核废水主要原因是意识形态斗争日本和美国是同盟关系中国跟美国是竞争关系自然不会对美国的小弟有好脸色你想想看如果是换成巴基斯坦排核废水中国的外交部一声都不会吭2福清市收起全文d,05月17日 22:09
7209,肚大乃容,日本防卫省为自卫队错误处理废弃物道歉道歉有用既然知道危害很大为啥还要向太平洋倾倒核废水这说明或者他们就不知道有害是呆子或者明明知道有害还要故意为之说明没脸没皮日本算啥大家心知肚明二战的犯罪行为至今没有说法所以都是扯,05月01日 17:46
4824,毓JTka841,雷珠单抗赵九闻言连忙跪地求道殿下恕罪是陛下怕奴才们愚笨照顾不好您陛下也一片苦心还望殿下见谅大晚上的天气这么冷好不容易发了个又被吞了真的好难贝伐单抗恩杂鲁胺劳拉替尼卡瑞利珠单抗阿特珠单抗信迪力单抗地诺单抗帕博利珠单抗西妥昔单抗利妥昔单抗曲妥珠单抗尼达尼布杂七杂八都可以有印度也不知道封不封国土豆丝不出事就行现在好难印度特瑞长安很亲沈邵不住的低着头蹭着他的怀沈邵抚了抚长安的脖子接着牵过缰绳翻身上马他望向永嘉与朕比一场吗日本核废水入海对中国有何影响收起全文d,05月16日 03:53
5768,吾宝Enid,对于爱做的人就让和核废水一起升发吧,05月20日 16:06
7612,秋裤咕咕咕,真的不好说风水轮流转日本的核废水转遍全球Flotusly不知道为什么总觉得环境这个专业挺看涨的十年二十年真的总有一天会被重视起来吧那个时候我们这一辈正好是领域内中流砥柱,05月01日 00:36
6189,新时代奋进者杜明同志,老高高相奎日本的说辞有严重的逻辑矛盾还有精日说国际组织建议日本排放大海是撒谎国际原子能组织官网内容是日本向IAEA提供了福岛核废水信息按照日本给的数据符合TEPCO的标准乍一看好像是符合国际标准TEPCO是什么TEPCO就是东京电力这就是日本自己按照自己的标准测的数据和报告,04月11日 22:39
267,像Leo一样向上,我在看视频核废水入海我们还能安心吃海鲜吗跟新浪看热点L核废水入海我们还能安心吃海鲜吗,05月05日 13:28
8155,牛年幸运充值中,任豪没有人比R1SE更爱R1SE日本任爱的难道不是核废水吗,05月02日 22:05
5986,Fanqie和酱,最近在思考一个问题日本进口的化妆品会不会有核废水,05月21日 12:40
8646,卑迩之上,东京饮用水致癌物严重超标怕是私下没少排放核废水吧,05月03日 22:39
8832,感恩上天把你赐给了我,东京饮用水致癌物严重超标难怪核废水比饮用水还干净,05月03日 21:20
4593,S_hanene,好家伙癌洄fs给自家羊骨有一手啊沓批赶紧和你日本爹滚回去喝核废水吧,05月15日 00:15
4154,维卡斯啦啦啦啦啦,营养不可缺少看来日本又要趁此机会倒核废水进海里了,05月14日 09:28
5466,廉萌丘廉,把本拉登海葬受到日本核废水影响产生变异可是我敢把这份喜欢你的感情大胆的说出来让你知道那是因为你一直都是一个人,05月18日 11:57
5054,近甜丸纸,INTO1谈团魂是什么操什么团魂笑吐了这边建议先把我的国籍还回来顺便再把我吐出来的核废水喝了再谈哦,05月17日 18:13
