,博主昵称,微博内容,发布时间
8031,青刀蝶舞,中国是一个最讲人权的社会你要有权母猪都能让你当干部,05月19日 13:39
7630,CGTNGlobalBusiness,指点财津124期欧盟须独立自主非唯美国马首是瞻几天前欧盟委员会副主席瓦卢瓦东布罗夫斯基斯表示中欧全面投资协定被暂时搁置然而欧盟内部对此也有不同声音今年3月欧盟完全不顾联合国宪章的宗旨单方面同美国一起以人权问题为由对中国实施制裁事实上欧盟的做法是愚昧的中欧协定是对双方来讲是互利的将投资协定政治化并不可取唯美国马首是瞻更是害人害己本期指点财津主持人蒉莺春Kate带你深入解读华春莹批西方老字号记者在中国骗访华春莹说56个FBI监督中国留学生太少了LCGTNGlobalBusiness的微博视频收起全文d,05月12日 21:00
7658,榆树林业,短评美国打人权牌为何扯上中国光伏产业O短评美国打人权牌为何扯上中国光伏产业,05月17日 20:59
7183,中政考研资料课程答疑,发布了头条文章2021年中国政法大学考研卷二真题人权法法研教育法大考研高端辅中国政法大学考研法律硕士考研法大考研2020考研西南政法大学华东政法大学中南财经政法大学河北大学北京师范大学珠海分校内蒙古科技大学天津科技大学中央民族大学内蒙古大学成都理工大学陆军炮兵防空兵学院湖南师范大学树达学院湖南师范大学燕京理工学院北京物资学院山东财经大学长安大学长沙学院北京外国语大学兰州理工大学长春理工大学北京交通大学北京联合大学北京化工大学广西民族大学武汉科技大学天津师范大学首都经济贸易大学郑州大学天津工业大学对外经济贸易大学北京理工大学甘肃政法学院北京科技大学宁波大学吉首大学广西师范大学中国人民公安大学山东政法学院中央司法警官学院海南法学院东北大学北京警察学院南京工业大学国际关系学院河南财经政法大学西北政法大学广东财经大学中南财经政法大学河北经贸大学内蒙古科技大学延边大学西南交通大学太原工业学院河南科技学院山东工商学院华南农业大学北京交通大学O2021年中国政法大学考研卷二真题人权法法研教育法大考研高端辅收起全文d,04月16日 21:04
8188,直新闻,外交部外交部回应美政客呼吁抵制北京冬奥会注定不会得逞18日美国众议院议长佩洛西在国会两党听证会上以所谓中国侵犯人权为由叫嚣美国应对2022年北京冬奥会进行外交抵制中国外交部发言人赵立坚19日回应称美方个别人的言论充斥着谎言和虚假信息是典型的美式闹剧注定不得人心也不会得逞美方个别人自诩所谓道德权威不知道这种无知者无畏的勇气从何而来L直新闻的微博视频收起全文d,05月20日 12:24
840,烤泥回魂_佛4,微信上的朋友说到最近被歧视我一般就默默的回复ifeelyoubroasaHubeier有时候都忍不住想中国人没人权其实根本是因为中国人自己不要人权吧西窗随记这个厉害了逻辑是我们连自己人都歧视歧视一下黑人有什么了不起的这是我们的传统文化湖北人忍得黑人忍不得吗,2020年04月18日 23:44
626,Sarahzerland,天天在看迷惑大赏的我口罩不能防疫戴口罩对新冠病情预防毫无用途防疫关键洗手别摸脸离他人一米远最后请把口罩留给医护人员对不起我就是医护人员我们也不让戴口罩那么最后口罩给谁戴要放过期吗这种魔幻宣传让我身边的华人即使有口罩也不敢戴因为会在外面被骂fckingChina会被歧视被撵出超市中国讲究中庸之道我们强大但不具侵略性懂得以德报怨不够无耻不够奸诈我们是发展中国家不够完美但我们有一颗赤子之心我们的防疫手段效果已见斟酌你们不效仿可以为什么要全面否认呢我现在觉得自己完全没有人权因为我没有戴口罩的权利全加拿大都在排斥宣扬这个事连同想保护自己的华人都进退两难每日出门都像在裸奔2加拿大Montreal收起全文d,2020年03月21日 23:43
2972,独守烟雨庭,海龟们没有资格谈论特权只有我们付出辛劳汗水和血水的可爱打工人才能有国家的特权海龟们不过是白眼狼罢了国家建设你不在享福逃跑你第一你们没资格谈人权因为你们不是人你们是真的狗我觉得狗都是褒义词因为狗他忠心忠诚你们呢你为国家带来了什么新冠病毒呵呵呵呵你们是行走的瘟疫你们走到哪里这病毒就跟到哪里你们为何还有脸回来心真踏马的大脸皮真是他嘛的厚脸皮你们的脸皮比城池的拐角还要厚自己体会什么意思吧拐角的城墙可是最厚的我觉得我是在侮辱脸皮和城墙这些字在这里我向他们道歉因为你们不值得用这些字来形容我大中华不需要你们这些海龟有你们只是麻烦不断没你们我们活的会更好更团结你们是敌人的间谍你们是特务你们带着阴谋来我们国家你们想活还是想死想死我们驱逐你们出国境就是想活那就给我去荒凉的地方去建设你们该做的事情西部在大开发你们便是主力我这不是请求这是军令也是我们主席的意思我知道上位者们都在头疼你们如何安置我来提议那就是给我去开发属于你们的唐人街去吧西部需要人力还不过吗要么给我滚出中国要么给我去西部大开发当然也不是不能留在繁华之地交钱吧我们谈一笔交易我是中国代表的商人交出九成的钱就让你们在北京居住交出八成钱财就让你们在上海居住交出越多可以在前线城市包括所有城市挑选住址你们必须破财消灾不然不承认你们是中国人我说的我可以代表中国因为我是军师我是中国的大军师还有我国不支持双国籍的人要么滚要么选中国国籍这就是我们给予你们海龟的仁慈给你们一次自己抉择的机会很公平公正你们是海龟你们是唐人街你们只是连外国人都不如墙头草罢了一群二五仔我最恨二五仔我可以代表中国因为此刻我是大军师收起全文d,2020年12月19日 21:34
7464,每日军视,军事新闻为了遏制中国崛起美国什么损招都用了出来就在昨天美国开始挑拨中俄关系了4月29日就在美国总统拜登国会演讲结束的第二天美国国家情报委员会开始出招了该委员会称中俄之间的关系良好但随着中国国力的不断增强会对俄罗斯产生重大影响甚至可能会丧失主动性因此美国提醒俄方要警惕这种情况的发生美国人的做法实在是令人不齿看似是在提醒俄罗斯实际上是宣传战的一种可以看出来对于中国与俄罗斯两大强国日益走近美国人的确开始恐慌了但现实情况是俄罗斯与中国越走越近美国人起到了很大的推动作用特别是在拜登上台以来一方面将中国定义为战略竞争对手另一方面又开始拉拢盟友支持俄罗斯再加上中国已经连续11年成为俄罗斯最大贸易伙伴双方的关系能够不近吗中俄关系紧密就能够让美国人有所顾忌中俄关系出现破裂美国人就可能趁虚而出当然美国人绝对没有好心到提醒俄罗斯人的程度只不过是为了挑拨离间中美俄是世界上最强大的三个国家对于三边关系纵横观有以下三点看法首先美国依旧是一家独大相对优势已经不大从综合国力来讲俄罗斯已经不能够与美国相提并论我国依旧与美国有一定的差距不过随着我国经济的迅速发展中美之间综合国力的差距越来越小这就是为何拜登一上台就要将中国定义为战略竞争对手全力遏制中国崛起试想一下等到中国成为全球第一大经济体美元霸权还能够维持多久没有了美元霸权美国的霸主地位还能维持多久其次中俄联手足以对抗美国一直以来中国与俄罗斯之间的关系都非常紧密特别是在拜登上台以来同时对中俄进行打压让两国走得更近不得不说在对待中俄这个问题上拜登的处理方式还不如川普中国是经济大国俄罗斯是军事强国两国联合在一起美国人也要退避三舍毕竟以美国的综合国力已经无法兼顾欧洲亚太两个战略要地现阶段美国最担心的就是中俄铁板一块让其无法下手最后小心美国人的阴谋诡计时间在我们这一边但要特别警惕美国人的阴谋诡计这一次美国国家情报局就是在挑拨中俄的关系美国人非常善于打着民主人权这些幌子从内部搞乱一个国家如果美国真的在乎所谓的价值观怎么不去管管沙特阿联酋这些绝对君主制国家的民主与人权美军美元是美国的硬刀子可以对其他国家进行军事经济制裁媒体就是美国人的软刀子可以煽动别国内耗这不俄罗斯反对派纳瓦尔尼让美国人失望了又开启了挑拨中俄关系的模式收起全文d,04月30日 21:40
1351,CCTV4,国际媒体继续广泛传播纪录片巍巍天山新疆反恐记忆继新疆反恐主题纪录片中国新疆反恐前沿和幕后黑手东伊运与新疆反恐之后中央广播电视总台CGTN于6月19日全网首发原创新疆反恐中英双语专题纪录片第三部巍巍天山中国新疆反恐记忆该纪录片通过聚焦31位恐怖袭击事件幸存者和目击者的故事揭示新疆暴恐犯罪行为的实质真实呈现中国治疆方略带给新疆的安定团结发展进步有力揭穿美方大肆诋毁中国新疆人权状况恶毒攻击中国政府治疆政策的荒谬之举纪录片巍巍天山发布后迅速在国际舆论场刷屏被包括美国英国德国法国意大利西班牙葡萄牙俄罗斯瑞士巴西阿根廷墨西哥澳大利亚日本韩国印度马来西亚泰国缅甸约旦黎巴嫩土耳其南非阿尔及利亚等在内的41个国家和地区的528家境外主流媒体积极转载转引其中新疆部分暴恐案件画面首次公布新疆反恐纪录片巍巍天山播出等碎片化视频素材或完整纪录片被美国FOXCNBC道琼斯等20个国家和地区的28家主流媒体的电视频道和新媒体平台使用相关涉疆新闻素材被意大利TGCOM24电视台西班牙国家电视台等30个国家和地区的47家主流电视台频道采用来源中央广播电视总台央视新闻O网页链接收起全文d,2020年06月25日 22:16
